specimen_id,material,morphology,run_id,indenter,X_contact_mm,repetition_index,force_low_target_n,force_high_target_n,force_low_actual_n,force_high_actual_n,region_index,region_start_normalized,region_end_normalized,delta_rms_DN,median_delta_rms_DN,is_peak_region
solaris_baseline_02,solaris,baseline,run_0001,sphere_10mm,0.0,1,2.0,15.0,1.7345610857009888,15.048471450805664,1,0.0,0.16666666666666666,8.83711642662431,8.795952620166707,False
solaris_baseline_02,solaris,baseline,run_0001,sphere_10mm,0.0,1,2.0,15.0,1.7345610857009888,15.048471450805664,2,0.16666666666666666,0.3333333333333333,20.36335506231867,17.70664467044772,True
solaris_baseline_02,solaris,baseline,run_0001,sphere_10mm,0.0,1,2.0,15.0,1.7345610857009888,15.048471450805664,3,0.3333333333333333,0.5,9.970716314997386,8.552161052043413,False
solaris_baseline_02,solaris,baseline,run_0001,sphere_10mm,0.0,1,2.0,15.0,1.7345610857009888,15.048471450805664,4,0.5,0.6666666666666666,5.593284807607191,5.167946910510679,False
solaris_baseline_02,solaris,baseline,run_0001,sphere_10mm,0.0,1,2.0,15.0,1.7345610857009888,15.048471450805664,5,0.6666666666666666,0.8333333333333333,2.2817499223876374,1.987736389112452,False
solaris_baseline_02,solaris,baseline,run_0001,sphere_10mm,0.0,1,2.0,15.0,1.7345610857009888,15.048471450805664,6,0.8333333333333333,1.0,4.201992443747517,4.201992443747517,False
solaris_baseline_02,solaris,baseline,run_0002,sphere_10mm,0.0,2,2.0,15.0,2.034912586212158,14.332995414733887,1,0.0,0.16666666666666666,8.411419863383705,8.795952620166707,False
solaris_baseline_02,solaris,baseline,run_0002,sphere_10mm,0.0,2,2.0,15.0,2.034912586212158,14.332995414733887,2,0.16666666666666666,0.3333333333333333,18.55726083870475,17.70664467044772,True
solaris_baseline_02,solaris,baseline,run_0002,sphere_10mm,0.0,2,2.0,15.0,2.034912586212158,14.332995414733887,3,0.3333333333333333,0.5,8.913012636666178,8.552161052043413,False
solaris_baseline_02,solaris,baseline,run_0002,sphere_10mm,0.0,2,2.0,15.0,2.034912586212158,14.332995414733887,4,0.5,0.6666666666666666,5.1213556915126945,5.167946910510679,False
solaris_baseline_02,solaris,baseline,run_0002,sphere_10mm,0.0,2,2.0,15.0,2.034912586212158,14.332995414733887,5,0.6666666666666666,0.8333333333333333,2.1835477663514675,1.987736389112452,False
solaris_baseline_02,solaris,baseline,run_0002,sphere_10mm,0.0,2,2.0,15.0,2.034912586212158,14.332995414733887,6,0.8333333333333333,1.0,4.362971774294507,4.201992443747517,False
solaris_baseline_02,solaris,baseline,run_0003,sphere_10mm,0.0,3,2.0,15.0,2.0764589309692383,14.395661354064941,1,0.0,0.16666666666666666,8.392237869122166,8.795952620166707,False
solaris_baseline_02,solaris,baseline,run_0003,sphere_10mm,0.0,3,2.0,15.0,2.0764589309692383,14.395661354064941,2,0.16666666666666666,0.3333333333333333,17.70664467044772,17.70664467044772,True
solaris_baseline_02,solaris,baseline,run_0003,sphere_10mm,0.0,3,2.0,15.0,2.0764589309692383,14.395661354064941,3,0.3333333333333333,0.5,8.552161052043413,8.552161052043413,False
solaris_baseline_02,solaris,baseline,run_0003,sphere_10mm,0.0,3,2.0,15.0,2.0764589309692383,14.395661354064941,4,0.5,0.6666666666666666,5.167946910510679,5.167946910510679,False
solaris_baseline_02,solaris,baseline,run_0003,sphere_10mm,0.0,3,2.0,15.0,2.0764589309692383,14.395661354064941,5,0.6666666666666666,0.8333333333333333,1.987736389112452,1.987736389112452,False
solaris_baseline_02,solaris,baseline,run_0003,sphere_10mm,0.0,3,2.0,15.0,2.0764589309692383,14.395661354064941,6,0.8333333333333333,1.0,4.432914091718557,4.201992443747517,False
solaris_baseline_02,solaris,baseline,run_0004,sphere_10mm,0.0,4,2.0,15.0,2.5249016284942627,15.633783340454102,1,0.0,0.16666666666666666,9.071592531716503,8.795952620166707,False
solaris_baseline_02,solaris,baseline,run_0004,sphere_10mm,0.0,4,2.0,15.0,2.5249016284942627,15.633783340454102,2,0.16666666666666666,0.3333333333333333,16.44530625393231,17.70664467044772,True
solaris_baseline_02,solaris,baseline,run_0004,sphere_10mm,0.0,4,2.0,15.0,2.5249016284942627,15.633783340454102,3,0.3333333333333333,0.5,8.085988062820249,8.552161052043413,False
solaris_baseline_02,solaris,baseline,run_0004,sphere_10mm,0.0,4,2.0,15.0,2.5249016284942627,15.633783340454102,4,0.5,0.6666666666666666,5.221066744623116,5.167946910510679,False
solaris_baseline_02,solaris,baseline,run_0004,sphere_10mm,0.0,4,2.0,15.0,2.5249016284942627,15.633783340454102,5,0.6666666666666666,0.8333333333333333,1.9831975448788106,1.987736389112452,False
solaris_baseline_02,solaris,baseline,run_0004,sphere_10mm,0.0,4,2.0,15.0,2.5249016284942627,15.633783340454102,6,0.8333333333333333,1.0,3.8549928694492257,4.201992443747517,False
solaris_baseline_02,solaris,baseline,run_0005,sphere_10mm,0.0,5,2.0,15.0,2.309236764907837,14.190110206604004,1,0.0,0.16666666666666666,8.795952620166707,8.795952620166707,False
solaris_baseline_02,solaris,baseline,run_0005,sphere_10mm,0.0,5,2.0,15.0,2.309236764907837,14.190110206604004,2,0.16666666666666666,0.3333333333333333,16.053988342467882,17.70664467044772,True
solaris_baseline_02,solaris,baseline,run_0005,sphere_10mm,0.0,5,2.0,15.0,2.309236764907837,14.190110206604004,3,0.3333333333333333,0.5,8.069433235010093,8.552161052043413,False
solaris_baseline_02,solaris,baseline,run_0005,sphere_10mm,0.0,5,2.0,15.0,2.309236764907837,14.190110206604004,4,0.5,0.6666666666666666,5.058930373623843,5.167946910510679,False
solaris_baseline_02,solaris,baseline,run_0005,sphere_10mm,0.0,5,2.0,15.0,2.309236764907837,14.190110206604004,5,0.6666666666666666,0.8333333333333333,1.98205415631602,1.987736389112452,False
solaris_baseline_02,solaris,baseline,run_0005,sphere_10mm,0.0,5,2.0,15.0,2.309236764907837,14.190110206604004,6,0.8333333333333333,1.0,3.8285747535410324,4.201992443747517,False
solaris_baseline_02,solaris,baseline,run_0006,sphere_10mm,11.0,1,2.0,15.0,1.3560062646865845,14.196654319763184,1,0.0,0.16666666666666666,6.460122044768664,4.506382538754091,False
solaris_baseline_02,solaris,baseline,run_0006,sphere_10mm,11.0,1,2.0,15.0,1.3560062646865845,14.196654319763184,2,0.16666666666666666,0.3333333333333333,17.33960202611646,11.986541783764274,True
solaris_baseline_02,solaris,baseline,run_0006,sphere_10mm,11.0,1,2.0,15.0,1.3560062646865845,14.196654319763184,3,0.3333333333333333,0.5,13.81518850930847,8.780392111019212,False
solaris_baseline_02,solaris,baseline,run_0006,sphere_10mm,11.0,1,2.0,15.0,1.3560062646865845,14.196654319763184,4,0.5,0.6666666666666666,5.272656092631667,3.415119803434196,False
solaris_baseline_02,solaris,baseline,run_0006,sphere_10mm,11.0,1,2.0,15.0,1.3560062646865845,14.196654319763184,5,0.6666666666666666,0.8333333333333333,1.7872138065746228,0.9701974864873257,False
solaris_baseline_02,solaris,baseline,run_0006,sphere_10mm,11.0,1,2.0,15.0,1.3560062646865845,14.196654319763184,6,0.8333333333333333,1.0,3.570337793488638,2.6672782887019495,False
solaris_baseline_02,solaris,baseline,run_0007,sphere_10mm,11.0,2,2.0,15.0,2.1556174755096436,14.55111026763916,1,0.0,0.16666666666666666,4.506382538754091,4.506382538754091,False
solaris_baseline_02,solaris,baseline,run_0007,sphere_10mm,11.0,2,2.0,15.0,2.1556174755096436,14.55111026763916,2,0.16666666666666666,0.3333333333333333,11.986541783764274,11.986541783764274,True
solaris_baseline_02,solaris,baseline,run_0007,sphere_10mm,11.0,2,2.0,15.0,2.1556174755096436,14.55111026763916,3,0.3333333333333333,0.5,8.780392111019212,8.780392111019212,False
solaris_baseline_02,solaris,baseline,run_0007,sphere_10mm,11.0,2,2.0,15.0,2.1556174755096436,14.55111026763916,4,0.5,0.6666666666666666,3.415119803434196,3.415119803434196,False
solaris_baseline_02,solaris,baseline,run_0007,sphere_10mm,11.0,2,2.0,15.0,2.1556174755096436,14.55111026763916,5,0.6666666666666666,0.8333333333333333,0.9701974864873257,0.9701974864873257,False
solaris_baseline_02,solaris,baseline,run_0007,sphere_10mm,11.0,2,2.0,15.0,2.1556174755096436,14.55111026763916,6,0.8333333333333333,1.0,2.6672782887019495,2.6672782887019495,False
solaris_baseline_02,solaris,baseline,run_0008,sphere_10mm,11.0,3,2.0,15.0,2.18609881401062,15.590524673461914,1,0.0,0.16666666666666666,3.3059744662409605,4.506382538754091,False
solaris_baseline_02,solaris,baseline,run_0008,sphere_10mm,11.0,3,2.0,15.0,2.18609881401062,15.590524673461914,2,0.16666666666666666,0.3333333333333333,10.387218654887093,11.986541783764274,True
solaris_baseline_02,solaris,baseline,run_0008,sphere_10mm,11.0,3,2.0,15.0,2.18609881401062,15.590524673461914,3,0.3333333333333333,0.5,7.169747264874998,8.780392111019212,False
solaris_baseline_02,solaris,baseline,run_0008,sphere_10mm,11.0,3,2.0,15.0,2.18609881401062,15.590524673461914,4,0.5,0.6666666666666666,2.8572560440240062,3.415119803434196,False
solaris_baseline_02,solaris,baseline,run_0008,sphere_10mm,11.0,3,2.0,15.0,2.18609881401062,15.590524673461914,5,0.6666666666666666,0.8333333333333333,0.6246487009297018,0.9701974864873257,False
solaris_baseline_02,solaris,baseline,run_0008,sphere_10mm,11.0,3,2.0,15.0,2.18609881401062,15.590524673461914,6,0.8333333333333333,1.0,2.0555087798999647,2.6672782887019495,False
solaris_baseline_02,solaris,baseline,run_0009,sphere_10mm,11.0,4,2.0,15.0,1.8440412282943726,15.573922157287598,1,0.0,0.16666666666666666,5.0546577059141296,4.506382538754091,False
solaris_baseline_02,solaris,baseline,run_0009,sphere_10mm,11.0,4,2.0,15.0,1.8440412282943726,15.573922157287598,2,0.16666666666666666,0.3333333333333333,12.288221121508757,11.986541783764274,True
solaris_baseline_02,solaris,baseline,run_0009,sphere_10mm,11.0,4,2.0,15.0,1.8440412282943726,15.573922157287598,3,0.3333333333333333,0.5,9.214597021443893,8.780392111019212,False
solaris_baseline_02,solaris,baseline,run_0009,sphere_10mm,11.0,4,2.0,15.0,1.8440412282943726,15.573922157287598,4,0.5,0.6666666666666666,3.8585622549966905,3.415119803434196,False
solaris_baseline_02,solaris,baseline,run_0009,sphere_10mm,11.0,4,2.0,15.0,1.8440412282943726,15.573922157287598,5,0.6666666666666666,0.8333333333333333,1.2295617922205224,0.9701974864873257,False
solaris_baseline_02,solaris,baseline,run_0009,sphere_10mm,11.0,4,2.0,15.0,1.8440412282943726,15.573922157287598,6,0.8333333333333333,1.0,2.776268570225,2.6672782887019495,False
solaris_baseline_02,solaris,baseline,run_0010,sphere_10mm,11.0,5,2.0,15.0,1.7995853424072266,15.39691162109375,1,0.0,0.16666666666666666,3.6327156794099533,4.506382538754091,False
solaris_baseline_02,solaris,baseline,run_0010,sphere_10mm,11.0,5,2.0,15.0,1.7995853424072266,15.39691162109375,2,0.16666666666666666,0.3333333333333333,9.671306778674067,11.986541783764274,True
solaris_baseline_02,solaris,baseline,run_0010,sphere_10mm,11.0,5,2.0,15.0,1.7995853424072266,15.39691162109375,3,0.3333333333333333,0.5,6.680930446679845,8.780392111019212,False
solaris_baseline_02,solaris,baseline,run_0010,sphere_10mm,11.0,5,2.0,15.0,1.7995853424072266,15.39691162109375,4,0.5,0.6666666666666666,3.0433818620539204,3.415119803434196,False
solaris_baseline_02,solaris,baseline,run_0010,sphere_10mm,11.0,5,2.0,15.0,1.7995853424072266,15.39691162109375,5,0.6666666666666666,0.8333333333333333,0.730476972201954,0.9701974864873257,False
solaris_baseline_02,solaris,baseline,run_0010,sphere_10mm,11.0,5,2.0,15.0,1.7995853424072266,15.39691162109375,6,0.8333333333333333,1.0,1.9899598069243871,2.6672782887019495,False
solaris_baseline_02,solaris,baseline,run_0011,sphere_10mm,22.0,1,2.0,15.0,1.53911292552948,15.732430458068848,1,0.0,0.16666666666666666,7.842587605511116,4.6922326364720695,False
solaris_baseline_02,solaris,baseline,run_0011,sphere_10mm,22.0,1,2.0,15.0,1.53911292552948,15.732430458068848,2,0.16666666666666666,0.3333333333333333,9.771311160804954,7.290195926868105,False
solaris_baseline_02,solaris,baseline,run_0011,sphere_10mm,22.0,1,2.0,15.0,1.53911292552948,15.732430458068848,3,0.3333333333333333,0.5,19.301600119763375,10.751392439224272,True
solaris_baseline_02,solaris,baseline,run_0011,sphere_10mm,22.0,1,2.0,15.0,1.53911292552948,15.732430458068848,4,0.5,0.6666666666666666,5.507764304784458,3.226670217577189,False
solaris_baseline_02,solaris,baseline,run_0011,sphere_10mm,22.0,1,2.0,15.0,1.53911292552948,15.732430458068848,5,0.6666666666666666,0.8333333333333333,1.8426285900405681,1.0096917139542883,False
solaris_baseline_02,solaris,baseline,run_0011,sphere_10mm,22.0,1,2.0,15.0,1.53911292552948,15.732430458068848,6,0.8333333333333333,1.0,4.581442721801542,2.9272168055196963,False
solaris_baseline_02,solaris,baseline,run_0012,sphere_10mm,22.0,2,2.0,15.0,2.0877509117126465,14.68412971496582,1,0.0,0.16666666666666666,4.728316037628891,4.6922326364720695,False
solaris_baseline_02,solaris,baseline,run_0012,sphere_10mm,22.0,2,2.0,15.0,2.0877509117126465,14.68412971496582,2,0.16666666666666666,0.3333333333333333,7.961213801465227,7.290195926868105,False
solaris_baseline_02,solaris,baseline,run_0012,sphere_10mm,22.0,2,2.0,15.0,2.0877509117126465,14.68412971496582,3,0.3333333333333333,0.5,11.644755863321937,10.751392439224272,True
solaris_baseline_02,solaris,baseline,run_0012,sphere_10mm,22.0,2,2.0,15.0,2.0877509117126465,14.68412971496582,4,0.5,0.6666666666666666,3.276060923230595,3.226670217577189,False
solaris_baseline_02,solaris,baseline,run_0012,sphere_10mm,22.0,2,2.0,15.0,2.0877509117126465,14.68412971496582,5,0.6666666666666666,0.8333333333333333,1.0648547663240788,1.0096917139542883,False
solaris_baseline_02,solaris,baseline,run_0012,sphere_10mm,22.0,2,2.0,15.0,2.0877509117126465,14.68412971496582,6,0.8333333333333333,1.0,2.9089411744763543,2.9272168055196963,False
solaris_baseline_02,solaris,baseline,run_0013,sphere_10mm,22.0,3,2.0,15.0,2.1331946849823,14.411399841308594,1,0.0,0.16666666666666666,4.382068661779319,4.6922326364720695,False
solaris_baseline_02,solaris,baseline,run_0013,sphere_10mm,22.0,3,2.0,15.0,2.1331946849823,14.411399841308594,2,0.16666666666666666,0.3333333333333333,7.290195926868105,7.290195926868105,False
solaris_baseline_02,solaris,baseline,run_0013,sphere_10mm,22.0,3,2.0,15.0,2.1331946849823,14.411399841308594,3,0.3333333333333333,0.5,10.719038469616834,10.751392439224272,True
solaris_baseline_02,solaris,baseline,run_0013,sphere_10mm,22.0,3,2.0,15.0,2.1331946849823,14.411399841308594,4,0.5,0.6666666666666666,3.01879316087521,3.226670217577189,False
