material,morphology,indenter,force_n,contact_i_mm,contact_j_mm,D_neighbor_DN
solaris,baseline,sphere_30mm,10.0,33.0,44.0,5.870308065991746
solaris,baseline,sphere_30mm,10.0,44.0,55.0,4.930484828266125
solaris,baseline,sphere_30mm,15.0,0.0,11.0,5.5986616251774555
solaris,baseline,sphere_30mm,15.0,11.0,22.0,2.9374397958423057
solaris,baseline,sphere_30mm,15.0,22.0,33.0,4.596111453530726
solaris,baseline,sphere_30mm,15.0,33.0,44.0,6.533861286771738
solaris,baseline,sphere_30mm,15.0,44.0,55.0,6.153235507796484
solaris,flat_opt,sphere_30mm,2.0,0.0,11.0,2.890989574574547
solaris,flat_opt,sphere_30mm,2.0,11.0,22.0,1.5858189614276534
solaris,flat_opt,sphere_30mm,2.0,22.0,33.0,1.3070407003022633
solaris,flat_opt,sphere_30mm,2.0,33.0,44.0,1.5310407015521175
solaris,flat_opt,sphere_30mm,2.0,44.0,55.0,0.9693659636449257
solaris,flat_opt,sphere_30mm,5.0,0.0,11.0,4.557673440345025
solaris,flat_opt,sphere_30mm,5.0,11.0,22.0,3.0504717669665142
solaris,flat_opt,sphere_30mm,5.0,22.0,33.0,2.267126692627795
solaris,flat_opt,sphere_30mm,5.0,33.0,44.0,3.3006977998778213
solaris,flat_opt,sphere_30mm,5.0,44.0,55.0,2.4359795798375785
solaris,flat_opt,sphere_30mm,10.0,0.0,11.0,5.582729299071056
solaris,flat_opt,sphere_30mm,10.0,11.0,22.0,4.346010287397739
solaris,flat_opt,sphere_30mm,10.0,22.0,33.0,3.463411583882754
solaris,flat_opt,sphere_30mm,10.0,33.0,44.0,4.660967006747195
solaris,flat_opt,sphere_30mm,10.0,44.0,55.0,4.062337873035748
solaris,flat_opt,sphere_30mm,15.0,0.0,11.0,5.945289052392951
solaris,flat_opt,sphere_30mm,15.0,11.0,22.0,5.097448680135528
solaris,flat_opt,sphere_30mm,15.0,22.0,33.0,4.087693691702012
solaris,flat_opt,sphere_30mm,15.0,33.0,44.0,5.302320894038253
solaris,flat_opt,sphere_30mm,15.0,44.0,55.0,5.512060603203998
solaris,angled_opt,sphere_30mm,2.0,0.0,11.0,0.41394733224448443
solaris,angled_opt,sphere_30mm,2.0,11.0,22.0,0.9109569506255901
solaris,angled_opt,sphere_30mm,2.0,22.0,33.0,1.7202964701567507
solaris,angled_opt,sphere_30mm,2.0,33.0,44.0,2.0632006621599532
solaris,angled_opt,sphere_30mm,2.0,44.0,55.0,1.1053503729964085
solaris,angled_opt,sphere_30mm,5.0,0.0,11.0,4.108616675442758
solaris,angled_opt,sphere_30mm,5.0,11.0,22.0,2.9129637088316795
solaris,angled_opt,sphere_30mm,5.0,22.0,33.0,2.495114944632625
solaris,angled_opt,sphere_30mm,5.0,33.0,44.0,3.184826509765112
solaris,angled_opt,sphere_30mm,5.0,44.0,55.0,2.9980416629178284
solaris,angled_opt,sphere_30mm,10.0,0.0,11.0,5.462795899653629
solaris,angled_opt,sphere_30mm,10.0,11.0,22.0,3.2630848221594664
solaris,angled_opt,sphere_30mm,10.0,22.0,33.0,4.483094138046518
solaris,angled_opt,sphere_30mm,10.0,33.0,44.0,5.408919789550694
solaris,angled_opt,sphere_30mm,10.0,44.0,55.0,4.357097527059545
solaris,angled_opt,sphere_30mm,15.0,0.0,11.0,6.593156816668474
solaris,angled_opt,sphere_30mm,15.0,11.0,22.0,3.88296571867611
solaris,angled_opt,sphere_30mm,15.0,22.0,33.0,5.71323520396877
solaris,angled_opt,sphere_30mm,15.0,33.0,44.0,6.843204942369505
solaris,angled_opt,sphere_30mm,15.0,44.0,55.0,5.146456497147721
dragon_skin,baseline,sphere_10mm,2.0,0.0,11.0,2.033633886031113
dragon_skin,baseline,sphere_10mm,2.0,11.0,22.0,1.654778521478275
dragon_skin,baseline,sphere_10mm,2.0,22.0,33.0,2.550119036928422
dragon_skin,baseline,sphere_10mm,2.0,33.0,44.0,2.7227703962406675
dragon_skin,baseline,sphere_10mm,2.0,44.0,55.0,1.6861036205550335
dragon_skin,baseline,sphere_10mm,5.0,0.0,11.0,2.9010168560082192
dragon_skin,baseline,sphere_10mm,5.0,11.0,22.0,1.7931184249165162
dragon_skin,baseline,sphere_10mm,5.0,22.0,33.0,3.131096826356232
dragon_skin,baseline,sphere_10mm,5.0,33.0,44.0,2.897734703775938
dragon_skin,baseline,sphere_10mm,5.0,44.0,55.0,2.9495693872029767
dragon_skin,baseline,sphere_10mm,10.0,0.0,11.0,4.469445693746913
dragon_skin,baseline,sphere_10mm,10.0,11.0,22.0,2.9574437691028903
dragon_skin,baseline,sphere_10mm,10.0,22.0,33.0,3.7375817927010178
dragon_skin,baseline,sphere_10mm,10.0,33.0,44.0,3.190941596769545
dragon_skin,baseline,sphere_10mm,10.0,44.0,55.0,4.9073787066951455
dragon_skin,baseline,sphere_10mm,15.0,0.0,11.0,5.716060306477025
dragon_skin,baseline,sphere_10mm,15.0,11.0,22.0,4.363313126715137
dragon_skin,baseline,sphere_10mm,15.0,22.0,33.0,4.858443373868317
dragon_skin,baseline,sphere_10mm,15.0,33.0,44.0,4.380608217020698
dragon_skin,baseline,sphere_10mm,15.0,44.0,55.0,5.500099167726728
dragon_skin,flat_opt,sphere_10mm,2.0,0.0,11.0,4.527776446288521
dragon_skin,flat_opt,sphere_10mm,2.0,11.0,22.0,5.476000638662658
dragon_skin,flat_opt,sphere_10mm,2.0,22.0,33.0,6.093693201269415
dragon_skin,flat_opt,sphere_10mm,2.0,33.0,44.0,6.372017956250607
dragon_skin,flat_opt,sphere_10mm,2.0,44.0,55.0,9.67066678641968
dragon_skin,flat_opt,sphere_10mm,5.0,0.0,11.0,4.323144237328584
dragon_skin,flat_opt,sphere_10mm,5.0,11.0,22.0,5.068912223700986
dragon_skin,flat_opt,sphere_10mm,5.0,22.0,33.0,5.60721083968655
dragon_skin,flat_opt,sphere_10mm,5.0,33.0,44.0,5.6432118621050735
dragon_skin,flat_opt,sphere_10mm,5.0,44.0,55.0,9.202325738652968
dragon_skin,flat_opt,sphere_10mm,10.0,0.0,11.0,4.45203951622339
dragon_skin,flat_opt,sphere_10mm,10.0,11.0,22.0,4.890666661025477
dragon_skin,flat_opt,sphere_10mm,10.0,22.0,33.0,5.4618082039554725
dragon_skin,flat_opt,sphere_10mm,10.0,33.0,44.0,5.447652623555885
dragon_skin,flat_opt,sphere_10mm,10.0,44.0,55.0,9.055362095545966
dragon_skin,flat_opt,sphere_10mm,15.0,0.0,11.0,5.7647245212988185
dragon_skin,flat_opt,sphere_10mm,15.0,11.0,22.0,4.8029249589865035
dragon_skin,flat_opt,sphere_10mm,15.0,22.0,33.0,5.366790449801106
dragon_skin,flat_opt,sphere_10mm,15.0,33.0,44.0,5.3547551487111145
dragon_skin,flat_opt,sphere_10mm,15.0,44.0,55.0,9.013411657999352
dragon_skin,baseline,sphere_30mm,2.0,0.0,11.0,1.7808817402277992
dragon_skin,baseline,sphere_30mm,2.0,11.0,22.0,1.971373512481215
dragon_skin,baseline,sphere_30mm,2.0,22.0,33.0,2.5421707686143358
dragon_skin,baseline,sphere_30mm,2.0,33.0,44.0,2.733459673239954
dragon_skin,baseline,sphere_30mm,2.0,44.0,55.0,2.227750551219655
dragon_skin,baseline,sphere_30mm,5.0,0.0,11.0,2.816544516895201
dragon_skin,baseline,sphere_30mm,5.0,11.0,22.0,3.981994721273792
dragon_skin,baseline,sphere_30mm,5.0,22.0,33.0,5.281038412489316
dragon_skin,baseline,sphere_30mm,5.0,33.0,44.0,4.665245255455398
dragon_skin,baseline,sphere_30mm,5.0,44.0,55.0,6.3301408168428654
dragon_skin,baseline,sphere_30mm,10.0,0.0,11.0,5.568856581179753
dragon_skin,baseline,sphere_30mm,10.0,11.0,22.0,7.116968653247102
dragon_skin,baseline,sphere_30mm,10.0,22.0,33.0,7.720086771811682
dragon_skin,baseline,sphere_30mm,10.0,33.0,44.0,6.644578844267274
dragon_skin,baseline,sphere_30mm,10.0,44.0,55.0,8.600926495009793
dragon_skin,baseline,sphere_30mm,15.0,0.0,11.0,8.252603050583641
dragon_skin,baseline,sphere_30mm,15.0,11.0,22.0,7.959817899378555
dragon_skin,baseline,sphere_30mm,15.0,22.0,33.0,9.168184293184572
